,id,emotion_v,emotion_a,emotion_d,label,Cat_L1,Cat_L2,Cat_L3,Cat_Spk,Dim_L1_val,Dim_L1_act,Dim_L1_dim,Dim_L2_val,Dim_L2_act,Dim_L2_dim,Dim_Spk_val,Dim_Spk_act,Dim_Spk_dim
0,Ses04M_script02_1_F000,2.5,1.5,2.0,neu,Frustration,Neutral,Neutral,-1,3,1,1,2,2,3,-1,-1,-1
1,Ses04M_script02_1_F001,2.5,2.5,3.0,xxx,Frustration,Neutral,Disgust,-1,3,2,2,2,3,4,-1,-1,-1
2,Ses04M_script02_1_F002,2.0,2.5,3.5,ang,Anger,Anger,Anger,-1,2,2,3,2,3,4,-1,-1,-1
3,Ses04M_script02_1_F003,2.0,3.5,3.0,ang,Anger,Anger,Anger,-1,2,3,2,2,4,4,-1,-1,-1
4,Ses04M_script02_1_F004,2.0,4.0,3.0,ang,Anger,Anger,Anger,-1,2,3,2,2,5,4,-1,-1,-1
5,Ses04M_script02_1_F005,2.5,2.5,3.0,ang,Anger,Anger,Other,-1,3,2,2,2,3,4,-1,-1,-1
6,Ses04M_script02_1_F006,2.5,1.5,2.5,xxx,Sadness,Anger,Frustration,-1,3,1,2,2,2,3,-1,-1,-1
7,Ses04M_script02_1_F007,2.0,3.0,2.5,ang,Anger,Anger,Frustration,-1,2,3,2,2,3,3,-1,-1,-1
8,Ses04M_script02_1_F008,2.5,3.0,3.5,ang,Frustration,Anger,Anger,-1,3,2,3,2,4,4,-1,-1,-1
9,Ses04M_script02_1_F009,2.5,2.0,3.0,fru,Frustration,Anger,Frustration,-1,3,2,2,2,2,4,-1,-1,-1
10,Ses04M_script02_1_F010,2.5,2.5,2.5,ang,Anger,Anger,Frustration,-1,3,2,2,2,3,3,-1,-1,-1
11,Ses04M_script02_1_F011,2.0,3.5,2.5,fru,Frustration,Anger,Frustration,-1,2,3,2,2,4,3,-1,-1,-1
12,Ses04M_script02_1_F012,2.0,3.5,2.5,ang,Frustration,Anger,Anger,-1,2,3,2,2,4,3,-1,-1,-1
13,Ses04M_script02_1_F013,2.0,4.0,3.0,ang,Anger,Anger,Anger,-1,2,4,2,2,4,4,-1,-1,-1
14,Ses04M_script02_1_F014,2.0,3.0,3.0,neu,Neutral,Neutral,Neutral,-1,2,3,2,2,3,4,-1,-1,-1
15,Ses04M_script02_1_F015,2.0,3.5,3.0,fru,Frustration,Anger,Frustration,-1,2,3,2,2,4,4,-1,-1,-1
16,Ses04M_script02_1_F016,2.5,2.5,2.5,fru,Frustration,Anger,Frustration,-1,3,2,2,2,3,3,-1,-1,-1
17,Ses04M_script02_1_F017,2.5,3.5,3.0,ang,Anger,Anger,Frustration,-1,3,3,3,2,4,3,-1,-1,-1
