UID,Cat,Valence,Activation,Dominance,Cat_Type,speaker,group
Ses01F_impro01_F000,neu,2.5,2.5,2.5,1,1,imp
Ses01F_impro01_F001,neu,2.5,2.5,2.5,1,1,imp
Ses01F_impro01_F002,neu,2.5,2.5,2.5,1,1,imp
Ses01F_impro01_F003,xxx,2.5,3,3,0,1,imp
Ses01F_impro01_F004,xxx,2.5,3,2.5,0,1,imp
Ses01F_impro01_F005,neu,2.5,3.5,2,1,1,imp
Ses01F_impro01_F006,fru,2,3.5,3.5,9,1,imp
Ses01F_impro01_F007,fru,2.5,3.5,3.5,9,1,imp
Ses01F_impro01_F008,fru,2,3.5,3.5,9,1,imp
Ses01F_impro01_F009,fru,2,3.5,3,9,1,imp
Ses01F_impro01_F010,xxx,1.5,3.5,3.5,0,1,imp
Ses01F_impro01_F011,fru,2,3.5,3.5,9,1,imp
Ses01F_impro01_F012,ang,2,3.5,3.5,3,1,imp
Ses01F_impro01_F013,fru,2,4,3.5,9,1,imp
Ses01F_impro01_F014,neu,2.5,3.5,3.5,1,1,imp
Ses01F_impro01_F015,fru,2,3.5,3,9,1,imp
Ses01F_impro01_M000,fru,2.5,2,2.5,9,2,imp
Ses01F_impro01_M001,fru,2.5,2,2.5,9,2,imp
Ses01F_impro01_M002,fru,2,3.5,3.5,9,2,imp
Ses01F_impro01_M003,fru,2.5,3.5,3.5,9,2,imp
Ses01F_impro01_M004,fru,2,4,3.5,9,2,imp
Ses01F_impro01_M005,fru,2,3.5,3.5,9,2,imp
Ses01F_impro01_M006,fru,2,3.5,3.5,9,2,imp
Ses01F_impro01_M007,fru,2.5,3.5,3,9,2,imp
Ses01F_impro01_M008,fru,2,3.5,3.5,9,2,imp
Ses01F_impro01_M009,fru,2.5,3.5,4,9,2,imp
Ses01F_impro01_M010,fru,2,4.5,4,9,2,imp
Ses01F_impro01_M011,ang,2,4,4,3,2,imp
Ses01F_impro01_M012,xxx,3,1.5,2,0,2,imp
Ses01F_impro01_M013,ang,2,4.5,4.5,3,2,imp
Ses01F_impro02_F000,sad,2.5,2,1.5,4,1,imp
Ses01F_impro02_F001,sad,2,1.5,1.5,4,1,imp
Ses01F_impro02_F002,sad,2,1.5,1.5,4,1,imp
Ses01F_impro02_F003,neu,2,2,2,1,1,imp
Ses01F_impro02_F004,sad,2.5,2,2.5,4,1,imp
Ses01F_impro02_F005,sad,2,2,2.5,4,1,imp
Ses01F_impro02_F006,neu,2.5,2.5,2.5,1,1,imp
Ses01F_impro02_F007,xxx,2,3.5,3,0,1,imp
Ses01F_impro02_F008,sad,1.5,2,1.5,4,1,imp
Ses01F_impro02_F009,xxx,1.5,1.5,2,0,1,imp
Ses01F_impro02_F010,sad,2,1.5,2,4,1,imp
Ses01F_impro02_F011,xxx,2.5,2.5,2.5,0,1,imp
Ses01F_impro02_F012,sad,3.5,2,1.5,4,1,imp
Ses01F_impro02_F013,sad,1.5,2,2,4,1,imp
Ses01F_impro02_F014,sad,1.5,2,2,4,1,imp
Ses01F_impro02_F015,sad,2,2.5,2.5,4,1,imp
Ses01F_impro02_F016,neu,2,1,2.5,1,1,imp
Ses01F_impro02_F017,sad,3.5,3,2.5,4,1,imp
Ses01F_impro02_F018,neu,2.5,2.5,2.5,1,1,imp
Ses01F_impro02_F019,sad,2.5,1.5,2,4,1,imp
Ses01F_impro02_F020,sad,4,2,2.5,4,1,imp
Ses01F_impro02_M000,xxx,2,2.5,2.5,0,2,imp
Ses01F_impro02_M001,sad,2,2.5,2.5,4,2,imp
Ses01F_impro02_M002,xxx,2.5,3,2.5,0,2,imp
Ses01F_impro02_M003,fru,2,3,3,9,2,imp
Ses01F_impro02_M004,xxx,2,3,2,0,2,imp
Ses01F_impro02_M005,sad,2,3,1.5,4,2,imp
Ses01F_impro02_M006,xxx,2,3,1.5,0,2,imp
Ses01F_impro02_M007,xxx,2,3,2.5,0,2,imp
Ses01F_impro02_M008,fru,2.5,1.5,2,9,2,imp
Ses01F_impro02_M009,sad,2,1.5,2.5,4,2,imp
Ses01F_impro02_M010,sad,2,2,1.5,4,2,imp
Ses01F_impro02_M011,sad,2.5,1.5,2.5,4,2,imp
Ses01F_impro02_M012,neu,2.5,2,2,1,2,imp
Ses01F_impro02_M013,sad,1.5,2,2,4,2,imp
Ses01F_impro02_M014,sad,1.5,3,1.5,4,2,imp
Ses01F_impro02_M015,neu,3,3,1.5,1,2,imp
Ses01F_impro02_M016,fru,2,1.5,2.5,9,2,imp
Ses01F_impro03_F000,hap,4.3333,2.6667,2.6667,2,1,imp
Ses01F_impro03_F001,hap,4,2.6667,2.6667,2,1,imp
Ses01F_impro03_F002,hap,4.3333,3,2.3333,2,1,imp
Ses01F_impro03_F003,xxx,5,4,3,0,1,imp
Ses01F_impro03_F004,hap,4.6667,3.6667,2.3333,2,1,imp
Ses01F_impro03_F005,hap,4.3333,4,2.3333,2,1,imp
